Names,voter_gender,age,caseType,caseFIR,location
Karan S. Dhami,1,29,Victim,FIR-2015-372,Dewas
Diksha . Kadel,0,25,Victim,FIR-2021-532,Sagar
Deepak Ksetri,1,50,Witness,FIR-2002-281,Indore
Suraj Mahato,0,60,Victim,FIR-2011-823,Sagar
Jhinki  Chai,0,33,Criminal,FIR-2019-233,Gwalior
Ram Prasad Chowdhary,1,38,Witness,FIR-2012-817,Gwalior
Uttam Ghimire,1,29,Victim,FIR-2014-476,Gwalior
Laxmi Dham,0,33,Suspect,FIR-2023-517,Jabalpur
Anjali Pariyar,0,45,Suspect,FIR-2023-925,Rewa
Kala Coudary,0,52,Suspect,FIR-2013-832,Sagar
Vinda  Khadka,0,48,Suspect,FIR-2024-943,Bhopal
Dil Ghimir,0,32,Criminal,FIR-2007-792,Gwalior
Ram Shah,1,39,Criminal,FIR-2020-810,Dewas
Totally brave but,1,46,Victim,FIR-2006-964,Bhopal
Leela B. Magar,1,20,Suspect,FIR-2010-815,Rewa
Dal Thar,0,20,Criminal,FIR-2014-682,Bhopal
take braver,1,45,Witness,FIR-2018-981,Sagar
Beasmuni Fowle,1,40,Witness,FIR-2021-107,Satna
Tilla  Ghaarti,0,36,Suspect,FIR-2000-717,Bhopal
Chanisara Goldsmit,0,30,Suspect,FIR-2019-481,Dewas
Sital Kumari Singh,0,47,Witness,FIR-2015-648,Indore
Yagya Kumari Kaarki,0,54,Suspect,FIR-2005-766,Ujjain
Sumitra Basnet,0,32,Victim,FIR-2017-253,Ujjain
D. Choudhary,0,56,Criminal,FIR-2017-711,Rewa
hari shreshth,1,47,Suspect,FIR-2022-234,Bhopal
Sital Singh,0,25,Victim,FIR-2022-258,Rewa
Ram Kisun Tharu,1,42,Victim,FIR-2001-376,Jabalpur
Gyan Bahadur Gurung,1,56,Witness,FIR-2024-268,Indore
H. Khatun,0,40,Suspect,FIR-2020-926,Gwalior
Purna Bahadur Bhujel,1,24,Criminal,FIR-2019-206,Sagar
Bal Lodh,1,34,Suspect,FIR-2004-359,Indore
Radhe Shyam Potter,1,46,Criminal,FIR-2019-826,Gwalior
Sharmila Magar,0,35,Suspect,FIR-2000-665,Ujjain
Sita Chowdhar,0,41,Suspect,FIR-2004-789,Rewa
Marich Maan Muktan,1,60,Witness,FIR-2024-743,Dewas
Subhadra D. Khatri,0,41,Witness,FIR-2003-712,Gwalior
koshila kumari,0,30,Criminal,FIR-2013-898,Bhopal
T. Damai/Nepali,0,57,Victim,FIR-2012-600,Sagar
Doma Barh,1,19,Witness,FIR-2006-262,Sagar
Kiran KC,1,24,Victim,FIR-2013-180,Rewa
Sujan  Nyupaane,1,36,Victim,FIR-2016-756,Sagar
Nand Bahadur Gurung,1,57,Victim,FIR-2023-212,Indore
Mukesh Kumar Chowdhary,1,53,Suspect,FIR-2007-898,Indore
ranjit . yadav,1,50,Witness,FIR-2017-558,Gwalior
M. Tamang,1,47,Victim,FIR-2022-882,Dewas
Bal Kumari Kshetri,0,44,Suspect,FIR-2001-385,Bhopal
Rashmi Bhatt Nyupaane,0,53,Suspect,FIR-2018-379,Jabalpur
Mohan Paudel,1,19,Criminal,FIR-2024-529,Satna
peace singer,0,42,Criminal,FIR-2023-200,Ujjain
Ram B. Mandal,1,36,Victim,FIR-2010-190,Ujjain
Ram Mandal,1,26,Victim,FIR-2000-261,Satna
Savita  Laamaa,0,27,Suspect,FIR-2018-315,Rewa
Ram Dev Mandal,1,50,Victim,FIR-2012-417,Jabalpur
Ganga Rima,0,60,Suspect,FIR-2022-149,Gwalior
M. Lama,0,29,Suspect,FIR-2014-746,Bhopal
Bal Kumari Mijaar,0,35,Victim,FIR-2011-308,Ujjain
Mahendra Bahadur Pulami,1,31,Victim,FIR-2022-720,Indore
Sushma Ra,0,55,Suspect,FIR-2015-390,Gwalior
pavi rana,0,45,Victim,FIR-2016-705,Indore
Rum Niche,0,40,Suspect,FIR-2016-825,Satna
Vishnu Praja,1,58,Suspect,FIR-2015-995,Gwalior
K. Magar,0,24,Victim,FIR-2019-516,Jabalpur
Motilal Thapa,1,46,Suspect,FIR-2016-770,Indore
t. tamang,1,36,Criminal,FIR-2004-132,Dewas
Tikey  Nepali,1,19,Criminal,FIR-2008-693,Rewa
Sunil Kumar Thakur,1,27,Victim,FIR-2021-382,Sagar
Sah Memed,1,36,Victim,FIR-2015-286,Gwalior
Sonam  Limbu,1,48,Suspect,FIR-2011-736,Dewas
s. sai,1,41,Criminal,FIR-2003-357,Jabalpur
Dev Narayan Chowdhary,1,37,Criminal,FIR-2013-234,Sagar
ruksar bano khaan,0,42,Suspect,FIR-2017-805,Sagar
Narahari  Bhattarai,1,36,Suspect,FIR-2018-781,Sagar
Full Sharm,0,34,Victim,FIR-2022-878,Ujjain
Nur Jahan Khaatun,0,55,Suspect,FIR-2015-731,Bhopal
D. Tailor,0,23,Criminal,FIR-2020-836,Indore
S. Dangol,1,37,Victim,FIR-2019-987,Indore
Ramnath S. Kanu,1,26,Criminal,FIR-2023-387,Jabalpur
