Gender,First Name (Devanagari),Middle Name (Devanagari),Last Name (Devanagari),First Name (Roman),Middle Name (Roman),Last Name (Roman),Alternative Roman Spellings,age,caseType,caseFIR,location
1,बिनोद,,तामाङ्ग,Binod,,Tamang,"Binod Tamang, Binod Taman, Binod . Tamang",41,Witness,FIR-2005-931,Kolkata
0,शान्ता,,बुढा,Shanta,,Budha,"Shanta  Budhaa, Shanta Buda, S. Budha",28,Criminal,FIR-2012-286,Madhya Pradesh
0,देउ,माया,राई,Deu,Maya,Rai,"Deu Rai, Deu Ra, Deu M. Rai",53,Suspect,FIR-2011-591,Mumbai
1,श्‍याम,बहादुर,थिङ,Shyam,Bahadur,Thing,"Shyam B. Thing, Shyam Thing, Shyam Ting",27,Suspect,FIR-2024-339,Chennai
1,जिवन,,लामा,jivan,,lama,"jivan lam, jivan lama, jivan  laamaa",45,Witness,FIR-2008-588,Madhya Pradesh
0,मिना,कुमारी,चौधरी,Meena,Kumari,Chaudhary,"Meena Caudary, Meena Kumari Chaudhari, Meena Kumari Chaaudhaary",31,Victim,FIR-2022-552,Mumbai
0,शुशिला,,भण्डारी,Shushila,,Bhandari,"Shushila  Bhandari, Shushila  Bhaandaari, S. Bhandari",58,Criminal,FIR-2022-143,Mumbai
0,हेम,कुमारी,चौधरी,Hem,Kumari,Chowdhary,"Hem Kumari Chowdhaary, Hem Kumari Chowdhari, Hem K. Chowdhary",46,Witness,FIR-2014-704,Chennai
1,क्षन्द्र,,तामाङ,ksandra,,tamaang,"ksandra tamaan, ksandra  tamaang, k. tamaang",30,Witness,FIR-2004-384,Delhi
0,विर्मा,,कामी,Virma,,Kami,"Virma Kam, Virma . Kami, Virma  Kaami",56,Criminal,FIR-2024-310,Delhi
0,परेम,कली,देवी,parem,kali,devi,"parem devi, parem k. devi, p. devi",18,Witness,FIR-2007-182,Delhi
1,मनोज,,राई,Manoj,,Rai,"Manoj Ra, Manoj . Rai, Manoj  Rai",23,Suspect,FIR-2023-304,Madhya Pradesh
1,मान,बहादुर,दर्लामी,Maan,Bahadur,Darlami,"Maan Darlam, M. Darlami, Maan Bahadur Daarlaami",59,Victim,FIR-2008-955,Chennai
0,रिया,,अग्रवाल,Riya,,Agarwal,"Riya Agarwa, R. Agarwal, Riya . Agarwal",38,Victim,FIR-2012-751,Madhya Pradesh
1,कुन्दन,,चौधरी,Kundan,,Chowdhary,"K. Chowdhary, Kundan  Chowdhaary, Kundan Cowdary",44,Suspect,FIR-2001-736,Kolkata
0,छमाली,,डाँगी,chhamali,,dangi,"chhamali dangi, c. dangi, chhamali  daangi",40,Suspect,FIR-2023-550,Delhi
0,दमन्ती,,के.सी.,Damanti,,K.C.,"Damanti  K.C., Damanti K.C, D. K.C.",28,Suspect,FIR-2013-592,Bangalore
1,देब,लभ,महर्जन,debt,profit,margin,"debt p. margin, debt profit margin, debt profit maargin",56,Victim,FIR-2014-206,Mumbai
1,डम्मर,बहादुर,बिष्ट,Dammar,Bahadur,Bisht,"Dammar B. Bisht, Dammar Bisht, Dammar Bist",21,Witness,FIR-2002-955,Madhya Pradesh
0,लाली,,तामाङ,Lali,,Tamang,"Lali . Tamang, Lali Tamang, Lali  Taamaang",42,Suspect,FIR-2004-246,Delhi
0,लक्ष्मी,,वि.क,Laxmi,,V.K,"Laxmi . V.K, Laxmi  V.K, L. V.K",29,Suspect,FIR-2000-297,Chennai
0,शान्‍ती,,गिरी,peace,,fell,"peace fell, peace . fell, peace fel",19,Witness,FIR-2020-582,Bangalore
1,अजय,प्रसाद,पटेल,Ajay,Prasad,Patel,"Ajay P. Patel, A. Patel, Ajay Patel",58,Criminal,FIR-2019-772,Hyderabad
0,लक्ष्मी,,भट्ट,Laxmi,,Bhatt,"Laxmi  Bhaatt, Laxmi . Bhatt, L. Bhatt",51,Criminal,FIR-2002-496,Mumbai
1,शेसव,कुमार,वर्मा,Shesav,Kumar,Verma,"Shesav Verma, Shesav Kumar Verma, Shesav Kumar Vermaa",41,Victim,FIR-2002-470,Madhya Pradesh
0,गुलाव,वती,सरदार,Gulawati,,Sardar,"G. Sardar, Gulawati  Saardaar, Gulawati Sardar",50,Criminal,FIR-2000-745,Madhya Pradesh
1,चन्द्र,किशोर,साह,Chandra,Kishore,Shah,"Chandra Kishore Shaah, Chandra Sha, C. Shah",47,Witness,FIR-2022-320,Delhi
0,सविता,,लामा,Savita,,Lama,"Savita  Laamaa, Savita Lam, Savita Lama",20,Suspect,FIR-2018-241,Chennai
1,नविन,कुमार,ज्ञवाली,Navin,Kumar,Gyawali,"N. Gyawali, Navin Kumar Gyaawaali, Navin Gyawal",40,Witness,FIR-2024-505,Madhya Pradesh
0,सिता,देवी,दाहाल,sita,devi,dahal,"sita dahal, sita d. dahal, s. dahal",60,Criminal,FIR-2020-286,Mumbai
1,कर्ण,बहादुर,खत्री,Karan,Bahadur,Khatri,"K. Khatri, Karan B. Khatri, Karan Bahadur Khaatri",38,Witness,FIR-2018-770,Bangalore
1,दिल,कृष्ण,धेके,Dil,Krishna,Dhake,"Dil K. Dhake, Dil Krishna Dhake, Dil Dake",30,Criminal,FIR-2024-784,Bangalore
1,उमेश,,श्रेष्ठ,Umesh,,Shrestha,"Umesh Shrestha, Umesh . Shrestha, Umesh  Shrestha",44,Criminal,FIR-2005-679,Madhya Pradesh
0,तारा,देवी,गुरुङग,Tara,Devi,Gurung,"T. Gurung, Tara Devi Gurung, Tara D. Gurung",26,Suspect,FIR-2016-195,Chennai
0,साजहान,,खातुन,Sazhan,,Khatun,"S. Khatun, Sazhan Katun, Sazhan . Khatun",29,Suspect,FIR-2012-975,Mumbai
0,रुबी,कुमारी,मेहता,Ruby,Kumari,Mehta,"Ruby Mehta, Ruby Meta, Ruby K. Mehta",50,Criminal,FIR-2011-653,Madhya Pradesh
1,दान,बहादुर,विश्‍वकर्मा,charity,brave,vishwakarma,"charity brave vishwakarma, charity vishwakarm, charity brave vishwaakaarmaa",43,Suspect,FIR-2005-775,Delhi
0,सम्‍झना,,थापा,Samjna,,Thapa,"Samjna Thapa, Samjna . Thapa, Samjna Tapa",35,Suspect,FIR-2016-748,Bangalore
0,करिना,,तामाङ,Kareena,,Tamang,"Kareena  Tamang, Kareena . Tamang, Kareena  Taamaang",20,Suspect,FIR-2008-245,Chennai
0,जौ,माया,घर्ति,barley,maya,gharti,"barley ghart, barley maya gharti, barley garti",56,Victim,FIR-2021-176,Madhya Pradesh
0,उषा,कुमारी,घिमिरे,Usha,Kumari,Ghimire,"Usha K. Ghimire, Usha Ghimire, Usha Gimire",54,Witness,FIR-2002-863,Bangalore
0,शोभा,कुवर,क्षेत्री,Shobha,Kuwar,Kshetri,"Shobha Kuwar Kshetri, Shobha Kshetri, S. Kshetri",35,Victim,FIR-2021-196,Chennai
1,राजेन्द्र,,भण्डारी,Rajendra,,Bhandari,"Rajendra Bhandari, Rajendra Bhandar, R. Bhandari",23,Witness,FIR-2007-734,Madhya Pradesh
1,सिद्धि,कुमार,श्रेष्‍ठ,siddhi,kumar,shreshtha,"siddhi kumar shreshthaa, siddhi shreshtha, s. shreshtha",54,Suspect,FIR-2019-351,Mumbai
0,कमला,,राई,Kamla,,Rai,"Kamla  Raai, Kamla . Rai, Kamla  Rai",51,Witness,FIR-2005-958,Madhya Pradesh
0,फूलमाया,,श्रेष्‍ठ,phoolmaya,,best,"phoolmaya . best, phoolmaya best, p. best",44,Suspect,FIR-2004-942,Chennai
1,उमेश,नारायण,साह,Umesh,Narayan,Shah,"Umesh Shah, U. Shah, Umesh N. Shah",35,Victim,FIR-2013-981,Madhya Pradesh
1,सुनील,,राजवंशी,Sunil,,Rajvanshi,"Sunil  Raajvaanshi, S. Rajvanshi, Sunil . Rajvanshi",54,Witness,FIR-2004-421,Bangalore
1,केलभिन,,मालाकार,Kelvin,,Malakar,"K. Malakar, Kelvin  Maalaakaar, Kelvin  Malakar",25,Witness,FIR-2019-175,Mumbai
1,सुबास,,परियार,Subas,,Pariyar,"Subas Pariyar, S. Pariyar, Subas  Paariyaar",36,Witness,FIR-2002-482,Kolkata
1,मिन्टु,,थारु,mintu,,tharu,"mintu taru, m. tharu, mintu . tharu",20,Witness,FIR-2011-272,Madhya Pradesh
0,चन्द्रा,देवी,धामी,chandra,devi,dhami,"chandra dhami, chandra dham, chandra devi dhaami",34,Witness,FIR-2000-954,Bangalore
1,नेत्रलाल,,बि.क.,Netralal,,B.K.,"Netralal . B.K., Netralal  B.K., N. B.K.",60,Victim,FIR-2001-348,Kolkata
1,पेमा,रेन्जे,शेर्पा,Pema,Renze,Sherpa,"Pema Sherp, Pema Renze Sherpaa, Pema Renze Sherpa",55,Criminal,FIR-2015-483,Mumbai
0,प्रभाव,देवी,केवट,Prabhav,Devi,Kevat,"Prabhav Devi Kevaat, P. Kevat, Prabhav D. Kevat",25,Criminal,FIR-2010-481,Madhya Pradesh
0,चुरमती,,पुनमगर,Churmati,,Punmagar,"Churmati  Punmaagaar, Churmati Punmagar, C. Punmagar",54,Suspect,FIR-2006-215,Madhya Pradesh
1,भोज,बहादुर,जिरेल,Bhoj,Bahadur,Jirel,"Bhoj B. Jirel, Bhoj Bahadur Jirel, Bhoj Jire",38,Suspect,FIR-2012-290,Chennai
0,खगि,सरा,आले,the,corner,house,"the ouse, the hous, the corner house",18,Suspect,FIR-2022-353,Delhi
0,रिंकु,,देवी,rinku,,devi,"r. devi, rinku devi, rinku . devi",46,Suspect,FIR-2002-387,Madhya Pradesh
1,मकमान,,कामी,Makaman,,Kami,"Makaman Kam, Makaman  Kami, Makaman  Kaami",21,Criminal,FIR-2010-766,Madhya Pradesh
0,बसन्ती,कुमारी,रावल,Basanti,Kumari,Rawal,"Basanti Kumari Rawal, B. Rawal, Basanti Rawa",46,Criminal,FIR-2007-268,Madhya Pradesh
1,अजिवुल,,मसिफ,Ajiwul,,Massif,"Ajiwul Massif, Ajiwul Massi, Ajiwul  Maassif",40,Witness,FIR-2005-189,Madhya Pradesh
